difficulty,group,question,content,hint,regex,answer,image,order
easy,government structure,Name one branch or part of the government.*,"The Constitution establishes three branches of government: legislative, executive, and judicial. Article I of the Constitution establishes the legislative branch. Article I explains that Congress makes laws. Congress (the Senate and the House of Representatives) is the legislative branch of the U.S. government. Article II of the Constitution establishes the executive branch. The executive branch enforces the laws that Congress passes. The executive branch makes sure all the people follow the laws of the United States. The president is the head of the executive branch. The vice president and members of the president’s cabinet are also part of the executive branch. Article III of the Constitution establishes the judicial branch. The judicial branch places the highest judicial power in the Supreme Court. One responsibility of the judicial branch is to decide if government laws and actions follow the Constitution. This is a very important responsibility.",What is the branch of government that writes the laws?,/(congress|legislative|president|executive|court|judicial)/ig,congress/ legislative/ president/ executive/ the courts/ judicial,http://upload.wikimedia.org/wikipedia/commons/a/a3/United_States_Capitol_west_front_edit2.jpg,13
medium,government structure,What stops one branch of government from becoming too powerful?,"The Constitution separates the government’s power into three branches to prevent one person or group from having too much power. The separation of government into three branches creates a system of checks and balances. This means that each branch can block, or threaten to block, the actions of the other branches. Here are some examples: the Senate (part of the legislative branch) can block a treaty signed by the president (the executive branch). In this example, the legislative branch is “checking” the executive. The U.S. Supreme Court (the judicial branch) can reject a law passed by Congress (the legislative branch). In this example, the judicial branch is “checking” the legislative branch. This separation of powers limits the power of the government and prevents the government from violating the rights of the people.","There are 3 branches of government, and each of them can do specific things.",/((?=.*check)(?=.*balances)).*|((?=.*separation)(?=.*powers)).*/ig,checks and balances/ separation of powers,http://upload.wikimedia.org/wikipedia/commons/a/a3/United_States_Capitol_west_front_edit2.jpg,14
easy,government structure,Who is in charge of the executive branch,"The job of the executive branch is to carry out, or execute, federal laws and enforce laws passed by Congress. The head of the executive branch is the president. The president is both the head of state and the head of government. The president’s powers include the ability to sign treaties with other countries and to select ambassadors to represent the United States around the world. The president also sets national policies and proposes laws to Congress. The president names the top leaders of the federal departments. When there is a vacancy on the Supreme Court, the president names a new member. However, the Senate has the power to reject the president’s choices. This limit on the power of the president is an example of checks and balances.",What is Obama's role in the government?,/(president|Obama)/ig,president,http://upload.wikimedia.org/wikipedia/commons/8/8d/President_Barack_Obama.jpg,15
medium,legislative,Who makes federal laws?,"Congress makes federal laws. A federal law usually applies to all states and all people in the United States. Either side of Congress—the Senate or the House of Representatives—can propose a bill to address an issue. When the Senate proposes a bill, it sends the bill to a Senate committee. The Senate committee studies the issue and the bill. When the House of Representatives proposes a bill, it sends the bill to a House of  Representatives committee. The committee studies the bill and sometimes makes changes to it. Then the bill goes to the full House or Senate for consideration. When each chamber passes its own version of the bill, it often goes to a “conference committee.” The conference committee has members from both the House and the Senate. This committee discusses the bill, tries to resolve the differences, and writes a report with the final version of the bill. Then the committee sends the final version of the bill back to both houses for approval. If both houses approve the bill, it is considered “enrolled.” An enrolled bill goes to the president to be signed into law. If the president signs the bill, it becomes a federal law.",It's not the President or the Judges.,/(congress|senate|legislat|(house of representatives))/ig,"congress/ senate, house of representatives/ legislature",http://upload.wikimedia.org/wikipedia/commons/a/a3/United_States_Capitol_west_front_edit2.jpg,16
easy,legislative,What are the two parts of the US Congress?*,"Congress is divided into two parts—the Senate and the House of Representatives. Because it has two “chambers,” the U.S. Congress is known as a “bicameral” legislature. The system of checks and balances works in Congress. Specific powers are assigned to each of these chambers. For example, only the Senate has the power to reject a treaty signed by the president or a person the president chooses to serve on the Supreme Court. Only the House of Representatives has the power to introduce a bill that requires Americans to pay taxes.",The Congress is the Legislative branch. Who writes the laws?,/(?=.*senate)(?=.*house of representatives).*/ig,"senate, house of representatives",http://upload.wikimedia.org/wikipedia/commons/f/fb/Obama_Health_Care_Speech_to_Joint_Session_of_Congress.jpg,17
medium,legislative,How many US Senators are there?,"There are 100 senators in Congress, two from each state. All states have equal power in the Senate because each state has the same number of senators. States with a very small population have the same number of  senators as states with very large populations. The Framers of the Constitution made sure that the Senate would be small. This would keep it more orderly than the larger House of Representatives. As James Madison wrote in Federalist Paper #63, the Senate should be a “temperate and respectable body of citizens” that operates in a “cool and deliberate” way.",There are 2 per state.,/(100)|((?=.*one)(?=.*hundred)).*/ig,100,http://upload.wikimedia.org/wikipedia/commons/f/f8/111th_US_Senate_class_photo.jpg,18
medium,legislative,We elect a US Senator for how many years?,"The Framers of the Constitution wanted senators to be independent from public opinion. They thought a fairly long, six-year term would give them this protection. They also wanted longer Senate terms to balance the shorter two-year terms of the members of the House, who would more closely follow public opinion. The Constitution puts no limit on the number of terms a senator may serve. Elections for U.S. senators take place on even-numbered years. Every two years, one-third of the senators are up for election.",Senators have longer terms than the president (presidents have 4 years).,/(6)|(six)/ig,6,http://upload.wikimedia.org/wikipedia/commons/f/f8/111th_US_Senate_class_photo.jpg,19
medium,legislative,The House of Representatives has how many voting members?,"The House of Representatives is the larger chamber of Congress. Since 1912, the House of Representatives has had 435 voting members. However, the distribution of members among the states has changed over the years. Each state must have at least one representative in the House. Beyond that, the number of representatives from each state depends on the population of the state. The Constitution says that the government will conduct a census of the population every 10 years to count the number of people in each state. The results of the census are used to recalculate the number of representatives each state should have. For example, if one state gains many residents that state could get one or more new representatives. If another state loses residents, that state could lose one or more. But the total number of voting U.S. representatives does not change. ","It's more than 400, but less than 500. ",/(435)|((?=.*four(-| |)hundred).*(?=.*thirty)(?=.*five)).*/ig,435,http://upload.wikimedia.org/wikipedia/commons/f/fb/Obama_Health_Care_Speech_to_Joint_Session_of_Congress.jpg,20
medium,legislative,We elect a US Representative for how many years?,"People who live in a representative’s district are called “constituents.” Representatives tend to reflect the views of their constituents. If representatives do not do this, they may be voted out of office. The Framers of the Constitution believed that short two-year terms and frequent elections would keep representatives close to their constituents, public opinion, and more aware of local and community concerns. The Constitution puts no limit on the number of terms a representative may serve. All representatives are up for election every two years.",They have a smaller term than the president (the president has a 4 year term) or senators (senators have 6 year terms).,/(2)|(two)/ig,2,http://upload.wikimedia.org/wikipedia/commons/f/fb/Obama_Health_Care_Speech_to_Joint_Session_of_Congress.jpg,21
hard,legislative,Who does a US Senator represent?,"Senators are elected to serve the people of their state for six years. Each of the two senators represents the entire state. Before the 17th Amendment to the Constitution was ratified in 1913, the state legislatures elected the U.S. senators to represent their state. Now, all the voters in a state elect their two U.S. senators directly.",There are 2 Senators for every state.,/(?=.*people)(?=.*state).*/ig,people of state,http://upload.wikimedia.org/wikipedia/commons/f/f8/111th_US_Senate_class_photo.jpg,22
hard,legislative,Why do some states have more Representatives than other states?,"The Founding Fathers wanted people in all states to be represented fairly. In the House of Representatives, a state’s population determines the number of representatives it has. In this way, states with many people have a stronger voice in the House. In the Senate, every state has the same number of senators. This means that states with few people still have a strong voice in the national government. ",Think about how some states are a lot bigger than other states.,/(?=.*(state|they))(?=.*(population|people)).*/ig,state's population/ they have more people,http://upload.wikimedia.org/wikipedia/commons/f/fb/Obama_Health_Care_Speech_to_Joint_Session_of_Congress.jpg,23
easy,executive,We elect a President for how many years?,"Early American leaders thought that the head of the British government, the king, had too much power. Because of this, they limited the powers of the head of the new U.S. government. They decided that the people would elect the president every four years. The president is the only official elected by the entire country through the Electoral College. The Electoral College is a process that was designed by the writers of the Constitution to select presidents. It came from a compromise between the president being elected directly by the people and the president being chosen by Congress. Citizens vote for electors, who then choose the president. Before 1951, there was no limit on the number of terms a president could serve. With the 22nd Amendment to the Constitution, the president can only be elected to two terms (four years each) for a total of eight years.",The president's term is between 2 and 6.,/(4)|(four)/ig,4,http://upload.wikimedia.org/wikipedia/commons/8/8d/President_Barack_Obama.jpg,24
easy,executive,In what month do we vote for President?*,"The Constitution did not set a national election day. In the past, elections for federal office took place on different days in different states. In 1845, Congress passed legislation to designate a single day for all Americans to vote. It made Election Day the Tuesday after the first Monday in November. Congress chose November because the United States was mostly rural. By November, farmers had completed their harvests and were available to vote. Another reason for this date was the weather. People were able to travel because it was not yet winter. They chose Tuesday for Election Day so that voters had a full day after Sunday to travel to the polls.",It's later in the year.,/(11)|(november)/ig,November,http://upload.wikimedia.org/wikipedia/commons/5/5c/Barack_Obama_votes_in_the_2012_election.jpg,25
easy,executive,What is the name of the President of the United States now?*,"Barack Obama is the 44th president of the United States. After winning the presidential election of 2008, he became the first African American president of the United States. He won a second term in 2012. As president, he is the head of the executive branch. As commander in chief, he is also in charge of the military. Obama was born in Hawaii on August 4, 1961. He graduated from Columbia University in New York. Obama also studied law and graduated from Harvard University in Massachusetts. He served as a U.S. senator for the state of Illinois before being elected president. President Obama’s wife, called “the First Lady,” is Michelle Obama. ","His last name starts with an ""O.""",/(Barack|Obama)/ig,(Barack) Obama,http://upload.wikimedia.org/wikipedia/commons/8/8d/President_Barack_Obama.jpg,26
easy,executive,What is the name of the Vice President of the United States now?*,"Joseph (Joe) R. Biden, Jr. is the 47th vice president of the United States. Biden was born November 20, 1942 in Pennsylvania. Later, his family moved to Delaware. He graduated from the University of Delaware in 1965. In 1968, he graduated from law school at Syracuse University in New York. From 1972-2009, Biden served as a U.S. senator for the state of Delaware. As vice president, Biden is president of the U.S. Senate and a top advisor to the president. Vice President Biden is married to Jill Biden.","His last name starts with a ""B.""",/(?=.*Joe)(?=.*Biden)|(Biden)/ig,(Joe) Biden,http://upload.wikimedia.org/wikipedia/commons/6/64/Biden_2013.jpg,27
easy,executive,"If the President can no longer serve, who becomes president?","If the president dies, resigns, or cannot work while still in office, the vice president becomes president. For this reason, the qualifications for vice president and president are the same. A vice president became president nine times in U.S. history when the president died or left office. William Henry Harrison died in office in 1841. Zachary Taylor died in office in 1850. Abraham Lincoln was killed in office in 1865. James Garfield was killed in office in 1881. William McKinley was killed in office in 1901. Warren Harding died in office in 1923. Franklin Roosevelt died in office in 1945. John F. Kennedy was killed in office in 1963. Richard Nixon resigned from office in 1974. No one other than the vice president has ever succeeded to the presidency.",Who runs with the president during the elections?,/(Biden)|(?=.*vice)(?=.*pres).*/ig,Vice President,http://upload.wikimedia.org/wikipedia/commons/6/64/Biden_2013.jpg,28
hard,executive,"If both the President and the Vice President can no longer serve, who becomes presidents?","If both the president and vice president cannot serve, the next person in line is the speaker of the House of Representatives. This has not always been the procedure. Soon after the country was founded, a law was passed that made the Senate president pro tempore the next in line after the president and vice president. The president pro tempore presides over the Senate when the vice president is not there. Later in U.S. history, the secretary of state was third in line. With the Presidential Succession Act of 1947, Congress returned to the original idea of having a congressional leader next in line. In 1967, the 25th Amendment was ratified. It established procedures for presidential and vice presidential succession.","Currently, it would be John Boehner.",/(Boehner)|(?=.*speaker)(?=.*house).*/ig,Speaker of the House,http://upload.wikimedia.org/wikipedia/commons/7/7d/John_Boehner_official_portrait.jpg,29
medium,executive,Who is the Commander in Chief of the military?,"The Founding Fathers strongly believed in republican ideals. A republic is a government where a country’s political power comes from the citizens, not the rulers, and is put into use by representatives elected by the citizens. That is why they made the president the commander in chief. They wanted a civilian selected by the people. They did not want a professional military leader. The president commands the armed forces, but Congress has the power to pay for the armed forces and declare war. In 1973, many members of Congress believed that the president was misusing or abusing his powers as commander in chief. They thought that the president was ignoring the legislative branch and not allowing the system of checks and balances to work. In response, Congress passed the War Powers Act. The War Powers Act gave Congress a stronger voice in decisions about the use of U.S. troops. President Richard Nixon vetoed this bill, but Congress overrode his veto. Because we have a system of checks and balances, one branch of government is able to check the other branches.",Barack Obama is the Commander in Chief. What is Obama's position?,/(Obama)|(president)/ig,President,http://upload.wikimedia.org/wikipedia/commons/8/8d/President_Barack_Obama.jpg,30
medium,executive,Who signs bills to become laws?,"Every law begins as a proposal made by a member of Congress, either a senator (member of the Senate) or representative (member of the House of Representatives). When the Senate or House begins to debate the proposal, it is called a “bill.” After debate in both houses of Congress, if a majority of both the Senate and House vote to pass the bill, it goes to the president. If the president wants the bill to become law, he signs it. If the president does not want the bill to become law, he vetoes it. The president cannot introduce a bill. If he has an idea for a bill, he must ask a member of Congress to introduce it.",Barack Obama can sign bills to become laws. He is part of the executive branch of the government.,/(Obama)|(president)/ig,President,http://upload.wikimedia.org/wikipedia/commons/b/bf/Obama_signs_Budget_Control_Act_of_2011.jpg,31
easy,executive,Who vetoes bills?,"The president has veto power. This means that the president can reject a bill passed by Congress. If the president vetoes a bill, he prevents it from becoming a law. The president can send the bill back to Congress unsigned. Often he will list reasons why he rejects it. The president has 10 days to evaluate the bill. If the president does not sign the bill after 10 days and Congress is in session, the bill automatically becomes a law. If the president does nothing with the bill and Congress adjourns within the 10-day period, the bill does not become law—this is called a “pocket veto.” If two-thirds of the House and two-thirds of the Senate vote to pass the bill again, the bill becomes a law, even though the president did not sign it. This process is called “overriding the president’s veto.” It is not easy to do.",Barack Obama can either sign bills or veto bills.,/(Obama)|(president)/ig,President,http://upload.wikimedia.org/wikipedia/commons/0/0a/BarackObamaSigningLegislation.jpg,32
hard,executive,What does the President's Cabinet do?,"The Constitution says that the leaders of the executive departments should advise the president. These department leaders, most of them called “secretaries,” make up the cabinet. The president nominates the cabinet members to be his advisors. For a nominee to be confirmed, a majority of the Senate must approve the nominee. Throughout history, presidents have been able to change who makes up the cabinet or add departments to the cabinet. For example, when the Department of Homeland Security was created, President George W. Bush added the leader of this department to his cabinet.",They help the President make decisions. ,/(?=.*(advise|advice))(?=.*(president|Obama)).*/ig,advises the President ,http://upload.wikimedia.org/wikipedia/commons/f/f3/President_Barack_Obama_with_full_cabinet_09-10-09.jpg,33
hard,executive,What are two Cabinet-level positions?,"The people on the president’s cabinet are the vice president and the heads of the 15 executive departments. The president may appoint other government officials to the cabinet. When George Washington was president, there were only four cabinet members: the secretary of state, secretary of the treasury, secretary of war, and attorney general. The government established the other executive departments later.","Some Cabinet-level positions would be for protecting the country, and schools.","/^(?:,*\s*(?:agriculture|commerce|defense|education|energy|health and human services|homeland security|housing and urban development|interior|labor|state|transportation|treasury|veterans affairs|attorney general|vice presidents)){2}/ig",Secretary of Agriculture/ Commerce/ Defense/ Education/ Energy/ Health and Human Services/ Homeland Security/ Housing and Urban Development/ Interior/ Labor/ State/ Transportation/ Treasury/ Veterans Affairs/ Attorney General/ Vice Presidents,http://upload.wikimedia.org/wikipedia/commons/f/f3/President_Barack_Obama_with_full_cabinet_09-10-09.jpg,34
hard,judicial,What does the judicial branch do?,"The judicial branch is one of the three branches of government. The Constitution established the judicial branch of government with the creation of the Supreme Court. Congress created the other federal courts. All these courts together make up the judicial branch. The courts review and explain the laws, and they resolve disagreements about the meaning of the law. The U.S. Supreme Court makes sure that laws are consistent with the Constitution. If a law is not consistent with the Constitution, the Court can declare it unconstitutional. In this case, the Court rejects the law. The Supreme Court makes the final decision about all cases that have to do with federal laws and treaties. It also rules on other cases, such as disagreements between states.",What do judges do?,/((?=.*(review|explain))(?=.*laws)).*|(?=.*resolve)(?=.*disagreement).*|(?=.*law)(?=.*consistent)(?=.*Constitution).*/ig,"reviews laws, explains laws, resolves disagreements, decides if a law goes against the Constitution",http://upload.wikimedia.org/wikipedia/commons/3/3a/Wayne_County_Courthouse_(Nebraska)_courtroom_1.JPG,35
easy,judicial,What is the highest court in the United States?,"The U.S. Supreme Court has complete authority over all federal courts. Its rulings have a significant effect. A Supreme Court ruling can affect the outcome of many cases in the lower courts. The Supreme Court’s interpretations of federal laws and of the Constitution are final. The Supreme Court is limited in its power over the states. It cannot make decisions about state law or state constitutions. The Court can decide that a state law or action conflicts with federal law or with the U.S. Constitution. If this happens, the state law becomes invalid. The Supreme Court case ruling Marbury v. Madison established this power, known as “judicial review.” The Supreme Court also rules on cases about significant social and public policy issues that affect all Americans. The Supreme Court ruled on the court case Brown v. the Board of Education of Topeka, which ended racial segregation in schools. ","What's another word for ""highest"" or ""greatest?""",/(?=.*supreme)(?=.*court).*/ig,Supreme Court,http://upload.wikimedia.org/wikipedia/commons/d/d8/USSupremeCourtWestFacade.JPG,36
medium,judicial,How many justices are on the Supreme Court?,"The Constitution does not establish the number of justices on the Supreme Court. In the past, there have been as many as 10 and as few as six justices. Now, there are nine justices on the Supreme Court: eight associate justices and one chief justice. The Constitution gives the president the power to nominate justices to the Supreme Court. The nominee must then be confirmed by the Senate. Justices serve on the court for life or until they retire. For more information on the Supreme Court, go to www.supremecourt.gov.",There are less than 10.,/(9)|(nine)/ig,9,http://upload.wikimedia.org/wikipedia/commons/4/43/Supreme_Court_US_2010.jpg,37
medium,judicial,Who is the Chief Justice of the United States now?,"John G. Roberts, Jr. is the 17th chief justice of the United States. After the death of former chief justice William Rehnquist in September 2005, President George W. Bush nominated Roberts for this position. Judge Roberts became chief justice when he was 50. He is the youngest chief justice since 1801, when John Marshall became chief justice at the age of 45. Before he became chief justice, Judge Roberts served on the U.S. Court of Appeals for the District of Columbia Circuit. Although the chief justice of the United States is the highest official in the judicial branch, his vote on the Supreme Court carries the same weight as the other justices.","His last name starts with an ""R.""",/(?=.*John)(?=.*Roberts)(?=.*Jr).*/ig,John Roberts Jr.,http://upload.wikimedia.org/wikipedia/commons/4/43/Official_roberts_CJ.jpg,38
hard,government structure,"Under our Constitution, some powers belong to the federal government. What is one power of the federal government?","The powers of government are divided between the federal government and the state governments. The federal government is known as a limited government. Its powers are restricted to those described in the U.S. Constitution. The Constitution gives the federal government the power to print money, declare war, create an army, and make treaties with other nations. Most other powers that are not given to the federal government in the Constitution belong to the states.",The federal government is not the state government.,/(?=.*print)(?=.*money).* | (?=.*declare)(?=.*war).* | (?=.*create)(?=.*army).* | (?=.*make)(?=.*treaties).*/ig,print money/ declare war/ create an army/ make treaties,http://upload.wikimedia.org/wikipedia/commons/2/27/Capitol_Building_Full_View.jpg,39
hard,government structure,"Under our Constitution, some powers belong to the states. What is one power of the states?","In the United States, the federal and state governments both hold power. Before the Constitution, the 13 colonies governed themselves individually much like state governments. It was not until the Articles of Confederation and then the Constitution that a national or federal government was established. Today, although each state has its own constitution, these state constitutions cannot conflict with the U.S. Constitution. The U.S. Constitution is the supreme law of the land. The state governments hold powers not given to the federal government in the U.S. Constitution. Some powers of the state government are the power to create traffic regulations and marriage requirements, and to issue driver’s licenses. The Constitution also provides a list of powers that the states do not have. For example, states cannot coin (create) money. The state and federal governments also share some powers, such as the ability to tax people.",What can state governments do in their own states? Think about the police and schools.,/(?=.*provide)(?=.*(school|education|protection|safety)).* |(license)|(?=.*approve)(?=.*zoning|land).*/ig,provide schooling and education/ provide protection/ provide safety/ give a driver's license/ approve zoning and land use,http://i.imgur.com/L9r6smZ.png,40
